,NDVI 2018,NDVI 2019,NDVI 2020,NDVI 2022,NDVI 2024,"Delta total
(2018→2024)","Delta recent
(2022→2024)"
Stable vegetation,0.030914347319640302,0.03682704211299567,0.04078457410342997,0.03548138119896177,0.03920759658948805,0.14739940132469914,0.012339100259792537
Vegetation loss,0.06749636019522165,0.011943738665836095,0.023763211718023283,0.008041407121470083,0.015262004108824244,0.2727857456982916,0.01843606128445921
Urban growth,0.0599458009878792,0.0414440563435379,0.045455389587478655,0.03515652900691414,0.026843709021425396,0.10487413625654181,0.025284271776216383
Stable other,0.09265343075489335,0.052902175971247606,0.09356074986260882,0.05043781083677155,0.022025609461100756,0.0251532192987152,0.007059294436324975
